persecution_group,combined_reflection,0_d1,1_d1,2_d1,3_d1,4_d1,comprehension,0_d2,1_d2,2_d2,3_d2,4_d2,judgment,0_d3,1_d3,2_d3,3_d3,4_d3,evaluation,0_d4,1_d4,2_d4,3_d4,4_d4,final_decision,0_d5,1_d5,2_d5,3_d5,4_d5,confidence,MP_human_1_score,0_d1,1_d1,2_d1,3_d1,4_d1,comprehension,0_d2,1_d2,2_d2,3_d2,4_d2,judgment,0_d3,1_d3,2_d3,3_d3,4_d3,evaluation,0_d4,1_d4,2_d4,3_d4,4_d4,final_decision,0_d5,1_d5,2_d5,3_d5,4_d5,confidence,MP_human_2_score
low,No. ; I just aimlessly guessed.,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.04,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1
low,"If a card was a loser 2 times in a row, I selected another deck. ; In the beginning, I switched after 1 losing card. Then I switched to 2 losing cards in a row.",0,0,0.9,0.1,0,2.1,0,0.2,0.7,0.1,0,1.9,0.1,0.6,0.3,0,0,1.2,0,0,0.7,0.3,0,2.3,0,0.2,0.7,0.1,0,1.9,1.88,0,0,0.1,0.2,0.7,3.6,0,0,0.1,0.1,0.8,3.7,0.8,0.2,0,0,0,0.2,0,0,0,0.2,0.8,3.8,0.8,0.2,0,0,0,0.2,2.3
low,"Yes, if a deck retarded a -50 value 3 out of 5 times, I'd test another one. ; No.",0,0.1,0.7,0.2,0,2.1,0,0.4,0.6,0,0,1.6,0.1,0.7,0.2,0,0,1.1,0,0,0.2,0.7,0.1,2.9,0,0.2,0.7,0.1,0,1.9,1.92,0,0,0.1,0.1,0.8,3.7,0,0,0,0.1,0.9,3.9,0.7,0.2,0.1,0,0,0.4,0,0,0.2,0.2,0.6,3.4,0.9,0.1,0,0,0,0.1,2.3
high,No ; No strategies,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
high,dont use any ; i dont think so,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
high,"No ; Yes, change the card points...I have confuse it...But this is very expected to earn the points",0.4,0.6,0,0,0,0.6,0.2,0.8,0,0,0,0.8,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.2,0.8,0,0,0,0.8,0.48,0.5,0.3,0.2,0,0,0.7,0.8,0.2,0,0,0,0.2,0.7,0.3,0,0,0,0.3,0.6,0.3,0.1,0,0,0.5,0.2,0.3,0.4,0.1,0,1.4,0.62
low,I kept going back to the same partner if I got +100 ; no,0,0.9,0.1,0,0,1.1,0,0.1,0.8,0.1,0,2,0.2,0.8,0,0,0,0.8,0,0,0,0.1,0.9,3.9,0,0,0,0.1,0.9,3.9,2.34,0,0,0.1,0.2,0.7,3.6,0,0,0.1,0.2,0.7,3.6,0.6,0.4,0,0,0,0.4,0,0.2,0.3,0.4,0.1,2.4,0.8,0.2,0,0,0,0.2,2.04
high,I tried to pickup on any patterns and use those patterns correctly to guess right ; I used the same strategy throughout the game by watching the patterns that I picked up on.,0.2,0.8,0,0,0,0.8,0,0.8,0.2,0,0,1.2,0.1,0.9,0,0,0,0.9,0,0,0.8,0.2,0,2.2,0,0.5,0.1,0.2,0.2,2.1,1.44,0,0,0.1,0.2,0.7,3.6,0.8,0.1,0.1,0,0,0.3,0.8,0.2,0,0,0,0.2,0.8,0.2,0,0,0,0.2,0.3,0.5,0.1,0.1,0,1,1.06
low,I tried to select the same person as long as i was getting postive scores then i tried to figure out a sequence ; ,0,0.9,0.1,0,0,1.1,0,0.4,0.5,0.1,0,1.7,0.1,0.8,0.1,0,0,1,0,0,0.8,0.2,0,2.2,0.5,0.5,0,0,0,0.5,1.3,0,0,0,0.2,0.8,3.8,0,0,0.1,0.3,0.6,3.5,0.7,0.3,0,0,0,0.3,0.1,0.2,0.4,0.2,0.1,2,0.7,0.2,0.1,0,0,0.4,2
low,"nothing in particular ; No, I played the same way throughout each game",0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1,0.9,0,0,0,0.9,0.5,0.5,0,0,0,0.5,0.34,0.9,0.1,0,0,0,0.1,0.7,0.3,0,0,0,0.3,0.9,0.1,0,0,0,0.1,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.16
high,I would switch to another person after I got a negative score but then go right back to the partner that was giving me a score to see if they just needed a break or were having a bad day. ; No,0,0,0.8,0.2,0,2.2,0,0,0.6,0.4,0,2.4,0,0,0.1,0.8,0.1,3,0,0,0.2,0.7,0.1,2.9,0,0,0.2,0.7,0.1,2.9,2.68,0.1,0.2,0.4,0.2,0.1,2,0,0,0.1,0.1,0.8,3.7,0,0,0.1,0.2,0.7,3.6,0.7,0.3,0,0,0,0.3,0.8,0.2,0,0,0,0.2,1.96
high,"Yes. I chose the reliable person till the person failed me. Then I guessed the next reliable person. ; No, I didn't.",0,0.6,0.4,0,0,1.4,0,0.6,0.3,0.1,0,1.5,0,0.7,0.3,0,0,1.3,0,0.4,0.5,0.1,0,1.7,0,0.2,0.7,0.1,0,1.9,1.56,0,0.1,0.1,0.3,0.5,3.2,0,0,0,0.3,0.7,3.7,0.8,0.2,0,0,0,0.2,0,0,0.3,0.6,0.1,2.8,0.6,0.3,0.1,0,0,0.5,2.08
low,Three negatives in a row caused me to switch to another card. ; Not really.,0,1,0,0,0,1,0.7,0.3,0,0,0,0.3,0.1,0.9,0,0,0,0.9,0,0.1,0.8,0.1,0,2,0,0.4,0.6,0.1,0,1.9,1.22,0,0,0.1,0.3,0.6,3.5,0,0,0.1,0.3,0.6,3.5,0.9,0.1,0,0,0,0.1,0.3,0.4,0.3,0,0,1,0.8,0.2,0,0,0,0.2,1.66
high,As soon as I hit a streak of negatives I switched.  Mostly ignored black after first round. ; Not after the first round.,0,0.9,0.1,0,0,1.1,0,0.5,0.5,0,0,1.5,0,0.9,0.1,0,0,1.1,0,0,0.7,0.3,0,2.3,0,0.1,0.7,0.1,0.1,2.2,1.64,0,0.1,0.1,0.3,0.5,3.2,0,0,0.1,0.4,0.5,3.4,0.9,0.1,0,0,0,0.1,0,0.2,0.3,0.4,0.1,2.4,0.9,0.1,0,0,0,0.1,1.84
low,stayed with the 100 until it changed and then changed my character ; no,0,0.3,0.7,0,0,1.7,0,0.3,0.7,0,0,1.7,0,0.9,0.1,0,0,1.1,0,0,0,0.5,0.5,3.5,0,0,0.1,0.7,0.2,3.1,2.22,0,0,0.2,0.3,0.5,3.3,0,0,0,0.2,0.8,3.8,0.9,0.1,0,0,0,0.1,0,0,0.3,0.5,0.2,2.9,0.9,0.1,0,0,0,0.1,2.04
high,"I tried to take some risks but mostly stayed with my safer guesses. ; Sometimes, yes",0.1,0.9,0,0,0,0.9,0,0.8,0.2,0,0,1.2,0.1,0.9,0,0,0,0.9,0,0.6,0.4,0,0,1.4,0,0.8,0.2,0,0,1.2,1.12,0,0,0.3,0.4,0.3,3,0.6,0.3,0.1,0,0,0.5,0.8,0.2,0,0,0,0.2,0.1,0.2,0.4,0.2,0.1,2,0,0,0.1,0.4,0.5,3.4,1.82
low,I stuck with a partner until they had repeatedly given me a bad grade (tried not to hold one bad one against them). ; No,0,0.2,0.8,0,0,1.8,0,0.1,0.7,0.2,0,2.1,0,0,0.2,0.8,0,2.8,0,0.2,0.7,0.1,0,1.9,0,0.1,0.7,0.2,0,2.1,2.14,0.6,0.3,0.1,0,0,0.5,0,0.1,0.2,0.3,0.4,3,0.1,0.5,0.3,0.1,0,1.4,0.1,0.4,0.3,0.2,0,1.6,0.8,0.1,0.1,0,0,0.3,1.36
high,I went with a person until they showed the -50 and then found the next good person ; A little bit,0,0.2,0.8,0,0,1.8,0,0.4,0.6,0,0,1.6,0,0,0.7,0.3,0,2.3,0,0,0.8,0.2,0,2.2,0,0.2,0.7,0.1,0,1.9,1.96,0,0,0.1,0.3,0.6,3.5,0,0,0.1,0.2,0.7,3.6,0.6,0.3,0.1,0,0,0.5,0,0,0.1,0.1,0.8,3.7,0.7,0.3,0,0,0,0.3,2.32
high,No. I guessed ; Yes. With each percentage I switch people.,0.1,0.9,0,0,0,0.9,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.3,0.5,0.3,0.2,0,0,0.7,0.4,0.3,0.2,0.1,0,1,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.3,0.5,0.2,0,0,0.9,0.58
high,I stuck to the one that won more. ; no.,0.1,0.9,0,0,0,0.9,0.2,0.8,0,0,0,0.8,0.9,0.1,0,0,0,0.1,0.1,0.8,0.1,0,0,1,0,0.4,0.6,0,0,1.6,0.88,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.3,0.4,0.3,0,0,1,0.3,0.4,0.3,0,0,1,0.8,0.1,0.1,0,0,0.3,0.5
low,"In the game, I tried to max out by clicking the same card  in a row with any one partner ; Yes, for the last two rounds.  I alternated back and forth between cards because it was hard to score serial baskets in a row.",0,0,0.9,0.1,0,2.1,0,0,0.1,0.7,0.2,3.1,0,0,0.2,0.6,0.2,3,0,0,0,0.2,0.8,3.8,0,0,0,0.6,0.4,3.4,3.08,0,0,0.1,0.2,0.7,3.6,0.6,0.3,0.1,0,0,0.5,0.9,0.1,0,0,0,0.1,0,0,0,0.2,0.8,3.8,0.7,0.3,0,0,0,0.3,1.66
high,made a decision based on what i think ; no,0.7,0.3,0,0,0,0.3,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,1,0,0,0,0,0,0.12,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1
low,I went with the person that gave me the 100 as much as possible ; no,0,0.3,0.7,0,0,1.7,0,0.7,0.3,0,0,1.3,0.9,0.1,0,0,0,0.1,0,0.3,0.7,0,0,1.7,0,0,0.2,0.6,0.2,3,1.56,0,0.1,0.2,0.3,0.4,3,0,0.1,0.1,0.2,0.6,3.3,0.8,0.2,0,0,0,0.2,0.1,0.1,0.2,0.4,0.2,2.5,0.8,0.2,0,0,0,0.2,1.84
low,"I simply based my decisions on patterns, such as if I'm being rewarded then I stick with that partner until something changes. ; Not really. I was pretty consistent with my strategy I feel.",0,0.1,0.8,0.1,0,2,0,0.7,0.3,0,0,1.3,0,0,0.8,0.2,0,2.2,0,0,0.1,0.8,0.1,3,0,0.2,0.7,0.1,0,1.9,2.08,0,0,0.2,0.3,0.5,3.3,0.5,0.4,0.1,0,0,0.6,0.6,0.3,0.1,0,0,0.5,0.3,0.6,0.1,0,0,0.8,0.7,0.3,0,0,0,0.3,1.1
low,"At first I would wait a turn after someone gave me negative points, but changed to move on instantly if I had already picked that person many times.  I was going in order and that worked out well for over half the time but towards the end it became more random. ; A little bit, see above as I had already answered it there.",0,0,0.1,0.8,0.1,3,0,0,0.1,0.3,0.6,3.5,0,0,0,0.2,0.8,3.8,0,0,0,0.6,0.4,3.4,0,0,0,0.1,0.9,3.9,3.52,0,0.1,0.2,0.3,0.4,3,0,0,0.2,0.4,0.4,3.2,0.1,0.2,0.4,0.2,0.1,2,0,0,0.2,0.5,0.3,3.1,0.2,0.4,0.3,0.1,0,1.3,2.52
high,I just kept going with the winning partner until it no longer won ; No,0,0.6,0.4,0,0,1.4,0,0.8,0.2,0,0,1.2,0.2,0.7,0.1,0,0,0.9,0,0,0.1,0.7,0.2,3.1,0,0,0,0.1,0.9,3.9,2.1,0,0.1,0.3,0.3,0.3,2.8,0,0,0.1,0.3,0.6,3.5,0.8,0.2,0,0,0,0.2,0,0,0.2,0.7,0.1,2.9,0.8,0.2,0,0,0,0.2,1.92
high,no ; no,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
low,I stayed with a certain partner until they didn't pay off on one round. I then switched to the other partners and stuck with the one that did pay off. ; No.,0,0.1,0.8,0.1,0,2,0,0.3,0.6,0.1,0,1.8,0,0.1,0.7,0.2,0,2.1,0,0,0.1,0.7,0.2,3.1,0,0.2,0.6,0.2,0,2,2.2,0,0,0.2,0.3,0.5,3.3,0,0,0.1,0.2,0.7,3.6,0.7,0.3,0,0,0,0.3,0,0,0,0.5,0.5,3.5,0,0,0.2,0.3,0.5,3.3,2.8
high," ; No, pver time the person that had the most points would change gradually throughout the game.",0.1,0.9,0,0,0,0.9,0.9,0.1,0,0,0,0.1,0.4,0.6,0,0,0,0.6,0.1,0.7,0.2,0,0,1.1,0.8,0.2,0,0,0,0.2,0.58,0.7,0.2,0.1,0,0,0.4,0.7,0.2,0.1,0,0,0.4,0.9,0.1,0,0,0,0.1,0.1,0.2,0.4,0.2,0.1,2,0.7,0.3,0,0,0,0.3,0.64
low,"In every round except the last, I stayed with the same person who was giving me +100 points until it became negative. In the last round, I just chose a different person for each selection because the changes were rapid. ; Yes, I went from sticking to one companion to constantly changing companions.",0,0,0,0.8,0.2,3.2,0,0,0,0.4,0.6,3.6,0,0,0,0.2,0.8,3.8,0,0,0,0.2,0.8,3.8,0,0,0,0.1,0.9,3.9,3.66,0,0,0.1,0.3,0.6,3.5,0,0,0,0.3,0.7,3.7,0,0,0,0.2,0.8,3.8,0,0,0.1,0.2,0.7,3.6,,0.2,0.3,0.5,0,2.3,3.38
low,"I stuck to the person who was successful and when they stopped being successful, I changed people. ; No. I stuck with the same one.",0,0.1,0.7,0.2,0,2.1,0,0.5,0.5,0,0,1.5,0,0,0.7,0.2,0.1,2.4,0,0,0.6,0.3,0.1,2.5,0,0,0,0.2,0.8,3.8,2.46,0,0,0.1,0.4,0.5,3.4,0,0.1,0.1,0.2,0.6,3.3,0.1,0.2,0.4,0.2,0.1,2,0,0,0.1,0.3,0.6,3.5,0.1,0.5,0.3,0.1,0,1.4,2.72
low,"I tried but everything I thought one of them was going to come through I was hit with -50 ; After the first -50 I went to the next person, I wanted to cut my losses.",0,0,0.8,0.2,0,2.2,0,0.4,0.6,0,0,1.6,0,0,0.4,0.6,0,2.6,0,0,0.2,0.7,0.1,2.9,0,0,0,0.3,0.7,3.7,2.6,0,0,0,0.2,0.8,3.8,0.1,0.1,0.1,0.2,0.5,2.9,0.1,0.5,0.2,0.2,0,1.5,0,0,0.1,0.5,0.4,3.3,0.6,0.4,0,0,0,0.4,2.38
low,no ; yes,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
high,my knowledge ; no,1,0,0,0,0,0,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.08,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1
low,"No, not really. I just switched when I felt that the partners might have changed. ; No, I kept the same strategy the entire time.",0.1,0.8,0.1,0,0,1,0,0.7,0.3,0,0,1.3,0.4,0.6,0,0,0,0.6,0,0,0.6,0.3,0.1,2.5,0,0.5,0.5,0,0,1.5,1.38,0.4,0.3,0.2,0.1,0,1,0.7,0.2,0.1,0,0,0.4,0.1,0.3,0.5,0.1,0,1.6,0.1,0.2,0.4,0.2,0.1,2,0,0.1,0.3,0.4,0.2,2.7,1.54
low,Tried to switch after 2 consecutive negative outcomes. ; Not really.,0.1,0.8,0.1,0,0,1,0.2,0.8,0,0,0,0.8,0.9,0.1,0,0,0,0.1,0,0,0.7,0.3,0,2.3,0.2,0.8,0,0,0,0.8,1,0,0.1,0.2,0.3,0.4,3,0,0,0.1,0.3,0.6,3.5,0.7,0.3,0,0,0,0.3,0,0.2,0.3,0.4,0.1,2.4,0.7,0.3,0,0,0,0.3,1.9
high,Based on points given by partner ; Yes,0,0.9,0.1,0,0,1.1,0.8,0.2,0,0,0,0.2,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.7,0.3,0,0,0,0.3,0.36,0.3,0.2,0.2,0.2,0.1,1.6,0.5,0.3,0.2,0,0,0.7,0.9,0.1,0,0,0,0.1,0.3,0.4,0.3,0,0,1,0.8,0.2,0,0,0,0.2,0.72
high,Just went with the person giving the most points at the time ; no,0,0.9,0.1,0,0,1.1,0.1,0.7,0.2,0,0,1.1,0.4,0.6,0,0,0,0.6,0,0.3,0.7,0,0,1.7,0.1,0.3,0.6,0,0,1.5,1.2,0.4,0.3,0.2,0.1,0,1,0,0.1,0.2,0.3,0.4,3,0.9,0.1,0,0,0,0.1,0.2,0.4,0.3,0.1,0,1.3,0.8,0.2,0,0,0,0.2,1.12
low,i looked for patterns ; no,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.9,0.1,0,0,0,0.1,0.1
low,I tried to look at patterns if I saw something work I would stick to it until I lost 50 points ; no,0,0.9,0.1,0,0,1.1,0,0.6,0.4,0,0,1.4,0.2,0.8,0.1,0,0,1,0.1,0.7,0.2,0,0,1.1,0.3,0.6,0.1,0,0,0.8,1.08,0,0,0.1,0.2,0.7,3.6,0,0.1,0.2,0.3,0.4,3,0.8,0.2,0,0,0,0.2,0,0.1,0.3,0.4,0.2,2.7,0.7,0.3,0,0,0,0.3,1.96
