id,subject_id,mturk_id,task_type,gender,race,education_level,cognitive_reflection_1,cognitive_reflection_2,cognitive_reflection_3,rgpts_ref_1 ,rgpts_ref_2,rgpts_ref_3,rgpts_ref_4,rgpts_ref_5,rgpts_ref_6,rgpts_ref_7,rgpts_ref_8,rgpts_per_1,rgpts_per_2,rgpts_per_3,rgpts_per_4,rgpts_per_5,rgpts_per_6,rgpts_per_7,rgpts_per_8,rgpts_per_9,rgpts_per_10,paranoia_score,referential_group,persecution_group,What do you think the partner game was testing?,"Did you use any particular strategy or strategies? If yes, please describe.",Did you find yourself switching strategies over the course of the game?,Did any of the partners deliberately sabotage you?,Do you have any comments or feedback about the game or this survey?,wsr_avg,mu02_avg,mu03_avg,kappa_avg,omega2_avg,omega3_avg
14,TP135,A2J5N770I859WE,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",10,5,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.055555556,low,low,I think it was testing how long we would stick with someone who was failing us.,I tried to see if there was a pattern. I also wouldn't go beyond 3 loses with one person before moving on.,"No, not really. I stuck pretty much with the same strategy.",-3,It was kind of fun. Everything was easy to understand.,0.038505969,-0.453021932,-2.612372059,0.463627338,0.610243158,-0.670752768
15,TP136,A3DS5B06ZCD3E3,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0.444444444,low,low,unsure,Kept with the same person until I needed to switch,kept the same person every time until it was a loss,-2,none,0,-0.533702854,-2.139876251,0.475830816,0.513781702,0.117499736
16,TP137,A311A0TCGNTFKK,social,Male,White,"Associate degree (e.g., AA, AS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,To see how well people can predict patterns,I just tried to anticipate when a person would turn on me,No,1,,0.018181818,-0.362197753,-1.280155387,0.448564232,1.909756789,-0.94272916
17,TP139,A3S5M6R3ZR6ECN,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",10,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,Ability to get the best partner.,Not really. I just clicked until I saw a 100.,Nope.,0,Not at all.,0,-0.167727902,-0.626661599,0.451978846,2.160339803,0.27668219
18,TP141,A1L3937MY09J3I,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.055555556,low,low,"Honestly not sure, but it's probably something to do with choosing people based on rewards maybe and how likely you are to change your response based on the reward or no on reward?",Well basically I just try to stick with the positive result as many times in a row as I can,I did not,-3,,0.210555556,-0.082343086,0.911745849,0.622133313,-1.414602316,-1.859153633
19,TP143,A2OG8XRYJ56HS7,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,100,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,My tolerance to a poor performer.,I tried to stay with one person as long as possible.,"No, not really. I tried to stay with a winning person.",-2,Very interesting HIT. Thank you for your time.,0,-0.007646939,-0.115274242,0.430565511,2.838950997,-1.164347815
20,TP144,AB66CTVQ90RCV,social,Female,"Black or African American,White","Master's degree (e.g., MA, MS, MEd)",0.1,5,47,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.166666667,low,low,Patters of trust based on past behavior,I realized that one person tending to be good for about 5-10 and stuck with tem until they didnt,It took me about 20 turns to figure out the pattern,-2,,0,-0.08559398,-0.917277874,0.443088541,2.035456959,0.234665481
21,TP145,A27ZW1CY6TMKT8,social,Male,White,"Some college or university, no degree",10,100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,was testing my mindset,no,no,0,i like this survey very much,0.045454546,-0.51730543,-1.017237611,0.514760977,0.549020608,0.504388374
22,TP146,ARSABS3TFA1GU,social,Male,White,"Some college or university, no degree",5,5,47,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0,1,0.388888889,low,low,Preferences and trust over time,I stuck with a partner until they had repeatedly given me a bad grade (tried not to hold one bad one against them). ,No,1,none,0,-0.143665802,1.222423888,0.516041088,0.391614443,-0.832213949
23,TP147,A3KF6O09H04SP7,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.111111111,low,low,How quickly people jumped to another partner when they saw that they were losing points.,I would wait to get either back-to-back losses or like tow out of three losses and jump to another partner that I knew had been decent in previous rounds.,"Not really, I basically stuck with the same strategy pretty much. i would try out the partner weearing black every now and then to see if it had changed.",-3,That was pretty interesting. I liked playing the game and trying to find patterns of the partners.,0,-0.210310647,-2.16659972,0.492236177,0.689074544,0.263617293
24,TP149,A2B7SPYBPF7H8I,social,Female,White,"Associate degree (e.g., AA, AS)",5,5,47,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.111111111,low,low,how quickly people would switch partners,switch as soon as I hit a negative,no,0,,0.08466199,0.030417221,-0.915414085,0.461105761,1.808706337,-0.275263602
25,TP150,A2VFEDAK5C1E1O,social,Male,White,"Some college or university, no degree",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,"I can't be sure about the specific aims of the test, but I suppose it might evaluate 'loyalty' or any other aspects of observed patterns or tendencies in partner-switching behavior.  I hope my further comments herein will help to inform your analysis of my input to the game.","Simply, after receiving a positive score, I continued with the current partner for the next score; but after any negative score I immediately switched to a different partner.  (Note: After getting a negative score and therefore switching from one partner to another, if I then immediately received another negative score, then I'd usually switch to the remaining least-recently-used partner.) ... (Note: I didn't hold any specific bias toward or against any partner, at least not consciously.  See my further comments for more about that.)","No, I didn't change my strategy very much or very significantly.  From the first half of the partner game to the second half,  there may have been some inconsistency in how I chose which other partner to try next when switching; but admittedly I wasn't trying to be very systematic about that.  I did eventually begin to think about modifying my strategy, but I wasn't aware of enough information to motivate a specific change. ... Eventually I became aware of some possibility that perhaps the middle partner might have given a higher frequency or percentage of negative scores than the others. But admittedly I wasn't tracking the scores carefully enough to be sure about that.  So I didn't modify my behavior based on that; at least not consciously. ... (Let's suppose, just hypothetically, if I had opted to track the scores more carefully than I actually did, and suppose if I had confirmed some pattern that could fault one of the partners, might I then have been more likely to revise my strategy to disfavor that partner? Perhaps, but still I would've hesitated to change, because I don't necessarily trust past performance as an indicator of future results. Considering the limited length of the game, admittedly I didn't feel sufficiently motivated to track results very carefully or to attempt much of an analysis; and even if I had, I probably would've maintained my simple strategy without much change.) ... (Addendum: Although I've noted a possibility that one partner might've given negative scores more frequently than the others, I've also noted that I wasn't really sure about that; so, on a presumption of innocence without definite proof of guilt, I'll indicate ""Probably not"" on the question of whether a partner attempted any ""deliberate sabotage"".)",-3,It was an interesting game and survey.  I hope my data will be valid and useful for your study.  Thank you!,0.028571429,-0.012522133,1.001195281,0.601584343,-1.951173469,-1.994870828
26,TP151,A2ZDEERVRN5AMC,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0.333333333,low,low,How loyal or willing to switch between different options a person is.,I stayed with a certain partner until they didn't pay off on one round. I then switched to the other partners and stuck with the one that did pay off.,No.,2,No.,0.044642857,-0.088049895,0.176288062,0.477124124,1.478543739,0.336820791
27,TP152,A107RJSS561Y7R,social,Male,White,"High school degree or equivalent (e.g., GED)",10,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How you choose to who to trust more by how much they have helped you.,"I tried to find someone that was helpful and even if they didn;t help keep with them until they were lsoing me a greater amount, if so I would go to the next most helpful person.",No,-3,The game its self was fun and interesting to play.  I appreciate the opportunity to participate in your research.,0.076086957,-0.089610065,0.981840743,0.624361946,-1.373826635,-1.905809196
28,TP153,A3GPTSDDHJ2DBV,social,Female,Asian,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I really don't know what it was testing. There were some times that I felt  there was a consistent pattern and some that felt random. I guess that was the point. Maybe the randomness was the sabatoge?,I found a 100 and kept going until it turned negative. Then I tried to find the next 100 and continue.,"It seemed like the earlier games, the 100 lasted longer. In the later games, there was more 100 to negative 50 but then right back to 100 so it was more difficult to find a pattern.",-3,Thanks for the opportunity!,0,-0.019460392,-0.521496308,0.417471604,3.015453129,-0.606236059
29,TP154,AP4A0MZOKR52J,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How long we stick with a partner once they start failing.,"If I lost 2/3 times, I would switch.",No.,0,Thanks!,0.045292208,-0.032943813,0.127643184,0.453195784,2.193233086,0.100634391
30,TP155,A3RZD9PCT2WAR1,social,Female,Black or African American,"Associate degree (e.g., AA, AS)",5,5,47,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0.277777778,low,low,Memorization of patterns,I found after checking each one extensively that #2 appeared to be the best choice.,No,3,I would like to note on the last set of questions I accidentally clicked decline on the first question when I did also provide an answer. Please take it as the correct choice for the answer.  The decline click was a mistake!  It would not let me undo it.,0.46978022,-0.003575594,1.000243381,0.60666764,-1.728493794,-1.973801474
31,TP156,A15J42M6EC7Y1K,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0.388888889,low,low,perception?,I didn't.,"Not really, just tapping about and seeing what was what ☺",2,I appreciate it.,0,-0.39530111,-0.910215923,0.449238067,1.989529812,-0.560985385
32,TP157,A24LC97AU3QC7G,social,Male,White,"Some college or university, no degree",0.1,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,i am not sure,i would give each one a few tries and if they were failing repeatedly move to another partner,no,-3,fun,0.178571429,-0.021936479,0.972445983,0.629368446,-1.215715393,-1.879743697
33,TP158,AMTTB8JUWRRM7,social,Female,White,"Bachelor's degree (e.g., BA, BS)",0.05,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How easily you switch from one partner to another,I switched whenever a partner gave me a negative,No,-2,,0.021276596,-0.403364231,-1.703227919,0.433855172,1.619234765,-0.348540417
34,TP159,A110KENBXU7SUJ,social,Male,White,"High school degree or equivalent (e.g., GED)",0.05,5,47,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0.277777778,low,low,I think it was testing if you trusted your partner or not,Yes whenever I saw the amount of money I kept hitting that button,no,NA,,0.359375,-0.004209998,0.961440215,0.625726162,-1.227583942,-1.897650157
35,TP160,AJAKX491SGILM,social,Male,White,"Some college or university, no degree",10,100,18,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.166666667,low,low,I have no idea.,Just clicking on who I thought would give me the 100 points,No.,-2,Fun and interesting.,0.037735849,-0.555036384,-0.978369224,0.486317159,0.710797584,0.329310803
36,TP161,AV5FCKI1TTSKR,social,Male,Black or African American,"Some college or university, no degree",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,to be honest I really do not know. ,"No, I just went with the person that gave a high score and changed over when it seemed they were doing the low score. ",No ,0,No ,0.018524872,-0.110760297,-0.373812909,0.479555344,2.365452448,-0.452369114
37,TP162,A39C210BKD7YNN,social,Female,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,1,0,1,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0.444444444,low,low,To see if people are willing to change and adapt to new information.,I tried to go with one that seemed to be successful and switched when they seemed to become unsuccessful,No,-2,,0.03862069,-0.223458024,-0.747791845,0.458950763,2.035828305,-0.169755283
38,TP163,A3EQO5ZIDBTSVK,social,Female,Black or African American,"Master's degree (e.g., MA, MS, MEd)",0.05,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,no idea since it seemed to be RNG more than anything else,No,not really,-2,no comments,0.385614035,-0.052750983,0.608018453,0.578346439,-0.236811614,-0.988291189
39,TP164,A1SISJL5ST2PWH,social,Male,Asian,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,Don't know.,Partner 3 had 7 100s in a row if you got the first one right.,Stick with Partner 2 unless there as a -50 twice in a row.,-1,,0.011111111,-0.66887067,-3.696661197,0.456101667,-0.089628458,-1.439572199
40,TP165,A36Z98LFRR041Q,social,Female,White,"Associate degree (e.g., AA, AS)",10,5,24,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.111111111,low,low,If we know how to predict which partner would be the best outcome.,"If it was green, I kept choosing that one until it was negative. Then I would find the green one again and keep choosing it until it turned red.",I stuck with the same strategy for the entire game. ,0,"The blue partner seemed to be the best. The brown partner was definitely the worst partner out of the three.  
",0.025913622,-0.555456098,-1.571893226,0.4728042,0.38445417,-0.090732629
41,TP166,A1B7GQTH9YG04X,social,Male,White,"Associate degree (e.g., AA, AS)",0.1,100,24,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.333333333,low,low,I think it was testing my prediction pattern,I stuck to the first partner that gave me a 100 for most part of the game,No I didn't,1,There is no other comment for now.,0.090277778,-0.001895812,0.545331814,0.552126763,0.24663855,-0.670913157
42,TP167,ARUXG5FD1Q76F,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,How long a person will stick with a partner that is not productive,"I stuck with one until they gave ""negative points"" two times in a row. When that happened, I went to another partner who gave ""positive points"". I continued with that partner, repeating the original strategy.","No, I kept with the same strategy throughout.",-3,No comments.,0,-0.507551343,-1.637072633,0.43856881,1.713818997,-0.22471022
43,TP168,A1ZK3LRUC4ICY7,social,Male,White,"Some college or university, no degree",5,5,47,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.166666667,low,low,judgement and trust,just searched until i got a point streak going again,no,0,no,0.425255704,-0.002582513,1.002004649,0.601355032,-1.932403054,-1.998329833
44,TP169,A3AIRKDB2DMC7U,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,5,24,2,1,3,1,2,2,2,3,4,1,2,0,2,0,,3,2,4,2,high,high,It was testing to see how well and how quickly you can pickup on patterns when they change and how quickly you make the right adjustment,I tried to pickup on any patterns and use those patterns correctly to guess right,I used the same strategy throughout the game by watching the patterns that I picked up on.,-2,Not at this time.,0.110902256,0.038116798,0.047195839,0.425444989,2.653266702,-1.775668592
45,TP170,A2TLN8489YGY81,social,Male,Asian,"Bachelor's degree (e.g., BA, BS)",0.1,5,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.111111111,low,low,To see if I could figure out a pattern of selecting the right partner.,"Yes, When I selected a correct one, it seemed like they came in pairs, so, I would select that same person again.","No, I stuck with the pairs.",2,no,0.008196722,-0.044804576,-0.303896384,0.46880096,2.031950323,-0.190458502
46,TP171,A27VFM67RPD2L5,social,Female,White,"High school degree or equivalent (e.g., GED)",0.1,5,24,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,low,low,My ability to be able to test and try others capacity ,No,Yes ,0,Great !!! the game made me to trust in others and the ability to improve with time ,0.019230769,-0.08180294,-1.279191241,0.464828679,0.63156561,0.203319211
47,TP172,A3TQD8CNO16IZK,social,Female,Asian,"Bachelor's degree (e.g., BA, BS)",5,5,47,1,0,1,,4,0,3,2,3,0,2,0,3,4,3,4,,3,2.0625,low,high,The partner game was possibly testing for tolerance of poor performance.,I simply tried to find a more reliable partner when my current partner started giving me negative points.,I did not change my strategy over the course of the game.,0,Everything went smoothly so far.,0.016949153,-0.057989567,-1.831526568,0.416165121,1.894130649,-0.847701145
48,TP173,A150GMV1YQWWB3,social,Male,White,"High school degree or equivalent (e.g., GED)",5,5,47,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0.166666667,low,low,"I wonder if it (as well as a number of other questions) was gauging trust...how many times someone would have to ""let us down"" before we stopped trusting them? Or whether we felt the failures were caused by sabotage, simple apathy, or just the partner having a bad time? (My motto is never ascribe to malice that which can be explained by simple stupidity, or in this case a bad time...so I just assumed the partner was having a rough patch, and often went back to the offending partner after a while to see if they improved.)","The strategy I used the most was if a partner caused two failures in a row, I switched to someone else. ",Initially I switched whenever a failure occurred but realized that I was making enough success to tolerate two failures before deciding to move on.,-3,Fun and interesting game. Thanks!,0.039141415,-0.425732206,-1.441031063,0.458796799,1.166691172,-0.528649294
49,TP174,AMELYCC59JKB0,social,Female,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,0,0,0,1,3,1,2,1,3,0,0,2,3,2,2,2,1.222222222,low,high,I have no idea,No,No,-2,,0.308510638,-0.137114279,0.700236685,0.548304957,0.655846725,-1.495808378
50,TP175,A1OB3NPURPFKVZ,social,Male,White,"Some college or university, no degree",10,100,24,1,1,0,3,3,1,3,4,4,1,1,2,2,1,3,1,1,1,1.833333333,high,high,The game was testing how fast you could go back to trusting someone after they did something wrong. ,I would switch to another person after I got a negative score but then go right back to the partner that was giving me a score to see if they just needed a break or were having a bad day. ,No,-1,NA,0.021276596,-0.070616724,0.945609777,0.636165012,-1.096409845,-1.864927006
51,TP176,A2EI075XZT9Y2S,social,Male,White,"High school degree or equivalent (e.g., GED)",10,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I don't really know. To see if there was a pattern or not would be my best guess.,keep going with one until it yielded more than 2 -50 results in a row then switch ,"yes, at first i just wanted to go with the black shirt but then switched to the aforementioned strategy ",0,"This was really fun, thanks.",0,-0.054086551,-1.141254835,0.489037021,1.181999459,0.634932185
52,TP177,A5TMU62U5FE5K,social,Male,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,adaptability,"no just followed the points, tried to make sure to allow for negatives in case its just a bad day",no,-3,should allow bubbles to be unclicked in decline section in case of mishaps,0.008474577,-0.0917437,0.149258787,0.422430252,2.848054102,-1.486415866
53,TP179,A1XVEKS9O73ERE,social,Female,White,"Bachelor's degree (e.g., BA, BS)",0.05,100,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,I have no idea,I tried to find patterns in the switching between good and bad partners.,No,2,Nope,0.017857143,-0.082341978,-1.140561581,0.442996808,2.202936651,-1.264716077
54,TP180,A2MWAXV1YRK5GH,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,reasoning and calculation,I tried to find the partner that was consistently good,"no, not really",-2,"all good, thank you",0.020454546,-0.007991228,-1.806292797,0.479816755,0.852382982,-0.023805894
55,TP181,A1M682B2WUSYJP,social,Male,White,"Bachelor's degree (e.g., BA, BS)",5,5,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,low,low,I don't know.,"No, not really. I just switched when I felt that the partners might have changed.","No, I kept the same strategy the entire time.",-2,,0.008196722,-0.338380787,-0.48598181,0.438974191,1.668143176,-0.119784848
56,TP182,A1BVG13MHBM1YD,social,Female,White,"High school degree or equivalent (e.g., GED)",0.05,5,47,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0.444444444,low,low,How I can choose the best partner to gain the most amount of points. How flexible I am and decision making.,If I got a negative 2 times I moved on to another person.,no,2,none,0.030367505,-0.652024126,-2.902756792,0.448722157,0.567839398,-0.445985359
57,TP183,A1JNZ0XH5EGEHF,social,Female,White,"Bachelor's degree (e.g., BA, BS)",10,100,24,0,4,2,2,2,2,2,2,2,2,3,1,2,0,0,2,2,2,1.777777778,high,high,MAYBE LUCK.,NO,NO,NA,NOPE,0.569264069,0.000598101,0.998148217,0.607170686,-1.754225375,-1.984597638
58,TP184,A340UNNVUZMEZF,social,Male,White,"Bachelor's degree (e.g., BA, BS)",10,5,47,2,3,3,2,2,3,3,2,4,3,2,3,4,4,3,3,3,4,2.944444444,high,high,finding the best partner,Based on points given by partner ,Yes,0,Nice,0.325615353,-0.083556305,0.22755752,0.573829177,0.195772958,-0.762664122
59,TP185,A14WLAP6TCEKO0,social,Male,Black or African American,"Bachelor's degree (e.g., BA, BS)",5,100,47,3,1,2,1,1,3,0,4,2,2,1,4,4,1,4,1,1,0,1.944444444,low,high,I think the partner game was testing my ability to recognize patterns and adjust my decision making accordingly. The test here was to see how fast I can see a change in patterns and change my behavior.,I was switching to a different partner on the first sign that they were giving me -50 scores. This was especially true when they would give me multiple 100 scores in a row and then suddenly start spitting out -50 scores.,"I think that I kept to my strategy, which was switching to a different partner the on the first sign that they were giving me -50 scores. When a partner was giving me multiple 100 scores, I stuck with them. The second they gave me a -50 score, I switched to a different partner.",-2,"It was a fun, engaging game. It kept me on my toes.",0,-0.26288615,-1.943488175,0.486527784,0.924220335,0.061628053
60,TP186,A3NBLSA78ZXDNP,social,Female,White,"Associate degree (e.g., AA, AS)",0.1,20,24,2,0,4,0,4,0,4,4,2,0,2,0,0,0,0,2,0,0,1.333333333,high,low,choices,no,yes,0,no,0.200763775,-0.083817818,0.630096761,0.55063592,0.055976457,-1.068836964
61,TP187,A2CY1TSQ3KKP5Q,social,Female,White,"Master's degree (e.g., MA, MS, MEd)",5,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,low,low,I don't know,No particular strategies,Only switched when one seemed to offer a negative effect,-2,,0.011363637,-0.161343506,-0.390092387,0.401383871,2.414975609,-1.215984034
